Symbol,Name,Currency,Stock Exchange Long,Stock Exchange Short,Timezone Name,,bad_ticker
ANSS,"ANSYS, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ANTM,Anthem Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AON,Aon PLC,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AOS,A. O. Smith Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AOSL,Alpha and Omega Semiconductor Ltd,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AP,Ampco-Pittsburgh Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
APA,Apache Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
APAM,Artisan Partners Asset Management Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
APC,Anadarko Petroleum Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
APD,"Air Products & Chemicals, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
APEI,"American Public Education, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
APH,Amphenol Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
APOG,Apogee Enterprises Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
APTV,Aptiv PLC,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ARAY,Accuray Incorporated,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARC,ARC Document Solutions Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ARCB,ArcBest Corp,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARCW,ARC Group WorldWide Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARE,Alexandria Real Estate Equities Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AREX,Approach Resources Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARI,Apollo Commercial Real Est. Finance Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ARNA,"Arena Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARNC,Arconic Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AROW,Arrow Financial Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARQL,"ArQule, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARR,"ARMOUR Residential REIT, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ARRS,ARRIS International plc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARRY,Array Biopharma Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARTNA,Artesian Resources Corporation Class A,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ARW,"Arrow Electronics, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ARWR,Arrowhead Pharmaceuticals Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ASC,Ardmore Shipping Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ASCMA,Ascent Capital Group Inc Series A,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ASGN,ASGN Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ASH,Ashland Global Holdings Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ASNA,Ascena Retail Group Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ASPS,Altisource Portfolio Solutions S.A.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ASTE,"Astec Industries, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AT,Atlantic Power Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ATEC,Alphatec Holdings Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATEN,A10 Networks Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ATI,Allegheny Technologies Incorporated,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ATLO,Ames National Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATNI,ATN International Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATO,Atmos Energy Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ATR,"AptarGroup, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ATRC,AtriCure Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATRI,Atrion Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATRO,Astronics Corporation,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATRS,Antares Pharma Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATSG,Air Transport Services Group Inc.,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
ATU,Actuant Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
ATVI,"Activision Blizzard, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVA,Avista Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AVAV,"AeroVironment, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVB,AvalonBay Communities Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AVD,American Vanguard Corp.,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AVEO,"AVEO Pharmaceuticals, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVGO,Broadcom Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVID,"Avid Technology, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVNW,Aviat Networks Inc,USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVP,"Avon Products, Inc.",USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AVT,"Avnet, Inc.",USD,NASDAQ Stock Exchange,NASDAQ,America/New_York,,#N/A
AVX,AVX Corporation,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AVY,Avery Dennison Corp,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AWI,Armstrong World Industries Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AWK,American Water Works Company Inc,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
AWR,American States Water Co,USD,New York Stock Exchange,NYSE,America/New_York,,#N/A
