,city,temp_min,temp_max,humidity,latitude,longitude,clouds,wind_speed,date_time,country
489,Leh,249.036,249.036,57,34.16,77.58,36,0.32,1540840160,IN
490,Kanzaki,282.15,289.15,93,33.31,130.37,0,1.0,1540839600,JP
491,Colonial Heights,289.85,291.45,36,37.26,-77.41,75,5.1,1540839360,US
492,Port Blair,302.661,302.661,98,11.67,92.75,0,5.02,1540840161,IN
493,Sao Joao da Barra,296.15,296.15,64,-21.64,-41.05,90,2.6,1540836000,BR
494,Kaseda,293.686,293.686,100,31.42,130.32,0,4.17,1540840161,JP
495,Marfino,272.15,272.15,74,56.07,37.56,90,7.0,1540837800,RU
496,Shitanjing,273.836,273.836,43,39.23,106.34,0,2.52,1540840162,CN
497,Carballo,280.15,282.15,87,43.21,-8.69,40,3.1,1540839600,ES
498,Ust-Tsilma,272.661,272.661,86,65.44,52.15,88,4.37,1540840162,RU
499,Igarka,259.661,259.661,75,67.47,86.57,0,4.87,1540840163,RU
500,Severnoye,270.486,270.486,75,54.09,52.54,8,5.32,1540840163,RU
501,Udachnyy,271.636,271.636,87,66.42,112.4,68,3.52,1540840163,RU
502,Aksarka,264.286,264.286,89,66.56,67.8,68,1.52,1540839980,RU
503,Haverfordwest,277.15,277.15,100,51.8,-4.97,0,3.1,1540835400,GB
504,Aginskoye,262.536,262.536,61,51.11,114.54,0,1.32,1540840164,RU
505,Ridgecrest,295.95,295.95,23,35.62,-117.67,40,1.5,1540835760,US
506,Ilebo,300.186,300.186,82,-4.33,20.59,20,1.42,1540840164,CD
507,Lisala,298.061,298.061,85,2.15,21.52,68,1.62,1540840164,CD
508,Pontes e Lacerda,305.736,305.736,79,-15.23,-59.33,12,2.22,1540840164,BR
509,Vostok,270.286,270.286,89,46.45,135.83,88,2.07,1540840165,RU
510,Moshenskoye,267.636,267.636,98,58.52,34.59,8,3.12,1540840165,RU
511,Mahenge,302.136,302.136,44,-8.68,36.72,88,2.52,1540840165,TZ
512,Tikrit,291.236,291.236,39,34.62,43.68,0,4.72,1540840166,IQ
513,Camabatela,294.786,294.786,87,-8.19,15.37,32,1.12,1540840166,AO
514,Cap Malheureux,296.15,296.15,94,-19.98,57.61,75,1.0,1540836000,MU
515,Huancavelica,285.736,285.736,74,-12.79,-74.97,32,1.72,1540840166,PE
516,Salinopolis,302.561,302.561,87,-0.61,-47.36,0,6.02,1540840167,BR
517,Sarh,304.15,304.15,58,9.14,18.39,20,3.17,1540836000,TD
518,Marienburg,277.15,277.15,93,52.12,9.98,75,7.7,1540839000,DE
519,Ponta Delgada,292.15,292.15,72,37.73,-25.67,40,3.6,1540837800,PT
